timeStamp,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1621599551731,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,1152,utf-8,1,0,VDICOR1W14-23,0,71
1621599552885,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,542,utf-8,1,0,VDICOR1W14-23,0,0
1621599553447,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391677,82330,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3602,utf-8,1,0,VDICOR1W14-23,0,40
1621599557290,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,1007,utf-8,1,0,VDICOR1W14-23,0,44
1621599558300,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,306,utf-8,1,0,VDICOR1W14-23,0,41
1621599558606,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,435,utf-8,1,0,VDICOR1W14-23,0,0
1621599559042,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,400,utf-8,1,0,VDICOR1W14-23,0,49
1621599559443,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391676,82330,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3714,utf-8,1,0,VDICOR1W14-23,0,0
1621599563276,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9016,17194,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,556,utf-8,1,0,VDICOR1W14-23,0,76
1621599563837,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,328,utf-8,1,0,VDICOR1W14-23,0,42
1621599564167,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,326,utf-8,1,0,VDICOR1W14-23,0,39
1621599564494,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,493,utf-8,1,0,VDICOR1W14-23,0,0
1621599564989,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391677,82330,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3728,utf-8,1,0,VDICOR1W14-23,0,37
1621599568836,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,398,utf-8,1,0,VDICOR1W14-23,0,104
1621599569235,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,377,utf-8,1,0,VDICOR1W14-23,0,55
