timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1621628511897,998,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,998,utf-8,1,0,VDICOR1W14-23,0,53
1621628512896,425,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,424,utf-8,1,0,VDICOR1W14-23,0,0
1621628513321,6124,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391677,82330,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,6048,utf-8,1,0,VDICOR1W14-23,0,46
1621628519446,337,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,337,utf-8,1,0,VDICOR1W14-23,0,37
1621628519783,320,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,320,utf-8,1,0,VDICOR1W14-23,0,37
1621628520102,454,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,453,utf-8,1,0,VDICOR1W14-23,0,0
1621628520557,369,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,369,utf-8,1,0,VDICOR1W14-23,0,50
1621628520927,4300,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391676,82330,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4192,utf-8,1,0,VDICOR1W14-23,0,0
1621628525229,470,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9016,17194,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,465,utf-8,1,0,VDICOR1W14-23,0,42
1621628525700,284,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,1,1,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,284,utf-8,1,0,VDICOR1W14-23,0,38
